,movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
14862,68,0,0,0,0,-0.2309545,-0.1096035,9.885055,-0.03981804,0.3774243,0.1298372,6.25E-08,3.31E-05,3.13E-07,-0.6352579,1.338333,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14863,68,0,0,0,0,-0.2283379,-0.1139052,9.896282,-0.05443448,0.3771558,0.1043351,-1.59E-05,4.86E-05,9.38E-07,-0.6594397,1.321669,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14864,68,0,0,0,0,-0.2149501,-0.1068191,9.887517,-0.02555892,0.3172292,-0.001197594,-1.49E-05,4.81E-05,6.25E-08,-0.6189668,1.245315,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14865,68,0,0,0,0,-0.2092984,-0.1099476,9.896991,-0.01062168,0.3615097,0.09086911,-1.54E-05,4.96E-05,9.38E-07,-0.6364835,1.211417,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14866,68,0,0,0,0,-0.2050982,-0.0992093,9.8959,0.0202944,-0.6743376,-0.06209673,-1.59E-05,3.26E-05,3.13E-07,-0.5743877,1.187258,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14867,68,0,0,0,0,-0.2045968,-0.1016315,9.898844,-0.01064834,0.3515464,0.03993413,-1.49E-05,3.31E-05,5.63E-07,-0.5882357,1.184002,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14868,68,0,0,0,0,-0.2097453,-0.1033211,9.892299,-0.001812442,-0.694022,-0.09696662,-1.49E-05,3.26E-05,1.06E-06,-0.5984099,1.214588,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14869,68,0,0,0,0,-0.2262809,-0.1151974,9.906343,0.01616924,-0.7118902,0.0292583,-1.54E-05,4.81E-05,-8.06E-06,-0.6662423,1.308435,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14870,68,0,0,0,0,-0.2155198,-0.1157923,9.886862,-0.05342284,-0.7289432,-0.07754815,-1.54E-05,4.81E-05,2.31E-06,-0.6710023,1.248685,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14871,68,0,0,0,0,-0.2202017,-0.1247034,9.884413,0.01266143,-0.715413,-0.1161782,-1.54E-05,3.36E-05,2.56E-06,-0.7228149,1.276104,0,1,1,0,0,0,0,0,0,0,0,0,0,0
